dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	typeComptageTrafic	TMJA	ratioPL
2018-01-01	A0004	3074	21	77	C	406	21487	675391,58	6859186,65	0	24	77	C	480	24561	678452,24	6858902,06	0	2018		124516	4,69
2018-01-01	A0004	6582	24	77	C	480	24561	678452,24	6858902,06	0	31	77	C	62	31143	685000,15	6859283,64	0	2018		108275	4,04
2018-01-01	A0004	2938	31	77	C	62	31143	685000,15	6859283,64	0	34	77	C	0	34081	687531,86	6860650,79	0	2018		64863	4,72
2018-01-01	A0004	1948	34	77	C	0	34081	687531,86	6860650,79	0	35	77	C	948	36029	688592,33	6862280,8	0	2018	1	37195	7,95
2018-01-01	A0004	4752	35	77	C	948	36029	688592,33	6862280,8	0	40	77	C	700	40781	692333,54	6865102,54	0	2018		61273	8,42
2018-01-01	A0004	0,1	40	77	C	700	40781	692333,54	6865102,54	0	40	77	C	700,1	40781,1	692333,62	6865102,61	0	2018		61273	8,42
2018-01-01	A0004	49,9	40	77	C	700,1	40781,1	692333,62	6865102,61	0	40	77	C	750	40831	692371,39	6865136,19	0	2018		61273	8,42
2018-01-01	A0004	13424	40	77	C	750	40831	692371,39	6865136,19	0	54	77	C	174	54255	703123,88	6872380,35	0	2018	1	29651	10,48
2018-01-01	A0004	10605	54	77	C	174	54255	703123,88	6872380,35	0	64	77	C	779	64860	710998,76	6879163,55	0	2018	1	23159	11,8
2018-01-01	A0004	2996	64	77	C	779	64860	710998,76	6879163,55	0	67	77	C	775	67856	712935,31	6881400,97	0	2018	1	21362	12,45
2018-01-01	A0004	17935	67	77	C	775	67856	712935,31	6881400,97	0	85	2	C	710	85791	729329,88	6886806,08	0	2018	1	21362	12,45
2018-01-01	A0004	14835	85	2	C	710	85791	729329,88	6886806,08	0	100	2	C	545	100626	742808,3	6892226,73	0	2018	1	21201	11,82
2018-01-01	A0004	8555	100	2	C	545	100626	742808,3	6892226,73	0	109	51	C	100	109181	750798,74	6894780,16	0	2018	1	21201	11,82
2018-01-01	A0004	1805	109	51	C	100	109181	750798,74	6894780,16	0	110	2	C	905	110986	752437,5	6895454,01	0	2018	1	21201	11,82
2018-01-01	A0004	3210	110	2	C	905	110986	752437,5	6895454,01	0	114	2	C	115	114196	754533,15	6897821,37	0	2018	1	22249	11,54
2018-01-01	A0004	17935	114	2	C	115	114196	754533,15	6897821,37	0	132	51	C	50	132131	769245,07	6905740,74	0	2018	1	22249	11,54
2018-01-01	A0004	1080	132	51	C	50	132131	769245,07	6905740,74	0	133	51	C	130	133211	770221,05	6905303,31	0	2018	1	11385	10,23
2018-01-01	A0004	3870	133	51	C	130	133211	770221,05	6905303,31	0	137	51	C	0	137081	772115,79	6902135,41	0	2018	1	26992	18,15
2018-01-01	A0004	1730	137	51	C	0	137081	772115,79	6902135,41	0	138	51	C	730	138811	773617,57	6901284,74	0	2018	1	26992	18,15
2018-01-01	A0004	2570	138	51	C	730	138811	773617,57	6901284,74	0	141	51	C	300	141381	775983,93	6901639,58	0	2018	1	25357	18,92
2018-01-01	A0004	3644	141	51	C	300	141381	775983,93	6901639,58	0	144	51	C	944	145025	779551,64	6901049,71	0	2018	1	25357	18,92
2018-01-01	A0004	22846	144	51	C	944	145025	779551,64	6901049,71	0	167	51	C	790	167871	794058,36	6884715,01	0	2018	1	37116	17,21
2018-01-01	A0004	3010	167	51	C	790	167871	794058,36	6884715,01	0	170	51	C	800	170881	796703,98	6883347,36	0	2018	1	25358	18,48
2018-01-01	A0004	8812	170	51	C	800	170881	796703,98	6883347,36	0	179	51	C	612	179693	805318,36	6882588,9	0	2018	1	16815	18,09
2018-01-01	A0004	32586	179	51	C	612	179693	805318,36	6882588,9	0	212	51	C	198	212279	836733,93	6887522,39	0	2018	1	16378	18,08
2018-01-01	A0004	8902	212	51	C	198	212279	836733,93	6887522,39	0	221	51	C	100	221181	845109,02	6889911,06	0	2018	1	16636	19,93
2018-01-01	A0004	796	221	51	C	100	221181	845109,02	6889911,06	0	221	51	C	896	221977	845904,96	6889832,49	0	2018	1	16636	19,93
2018-01-01	A0004	0,1	221	51	C	896	221977	845904,96	6889832,49	0	221	51	C	896,1	221977,1	845905,06	6889832,47	0	2018	1	16636	19,93
2018-01-01	A0004	8353,9	221	51	C	896,1	221977,1	845905,06	6889832,47	0	230	55	C	250	230331	853674,43	6890010,37	0	2018	1	16636	19,93
2018-01-01	A0004	12985	230	55	C	250	230331	853674,43	6890010,37	0	243	55	C	235	243316	866344,3	6890899,84	0	2018	1	16623	19,79
2018-01-01	A0004	10800	243	55	C	235	243316	866344,3	6890899,84	0	254	55	C	35	254116	876224,27	6892659,83	0	2018	1	15816	19,83
2018-01-01	A0004	16303	254	55	C	35	254116	876224,27	6892659,83	0	270	55	C	338	270419	891138,71	6895050,96	0	2018	1	17445	19,39
2018-01-01	A0004	10500	270	55	C	338	270419	891138,71	6895050,96	0	280	55	C	838	280919	900304,27	6899498,07	0	2018	1	16733	19,52
2018-01-01	A0004	11973	280	55	C	838	280919	900304,27	6899498,07	0	292	54	C	811	292892	911224,18	6903727,16	0	2018	1	16733	19,52
2018-01-01	A0004	6363	292	54	C	811	292892	911224,18	6903727,16	0	299	54	C	174	299255	917316,77	6903909,26	0	2018	1	17643	19,01
2018-01-01	A0004	552	299	54	C	174	299255	917316,77	6903909,26	0	299	54	C	726	299807	917782,83	6903639,5	0	2018	1	17643	19,01
2018-01-01	A0004	12160	299	54	C	726	299807	917782,83	6903639,5	0	311	57	C	886	311967	928033,5	6905341	0	2018	1	24099	16,8
2018-01-01	A0004	1154	311	57	C	886	311967	928033,5	6905341	0	313	57	C	40	313121	928918,8	6904679,37	0	2018		33048	13,05
2018-01-01	A0004	10	313	57	C	40	313121	928918,8	6904679,37	0	313	57	C	50	313131	928924,84	6904671,4	0	2018		33048	13,05
2018-01-01	A0004	2779	313	57	C	50	313131	928924,84	6904671,4	0	315	57	C	829	315910	931371,99	6904792,42	0	2018		56557	9,19
2018-01-01	A0004	2483	315	57	C	829	315910	931371,99	6904792,42	0	318	57	C	312	318393	933817,51	6904489,06	0	2018		58616	13,23
2018-01-01	A0004	7888	318	57	C	312	318393	933817,51	6904489,06	0	326	57	C	200	326281	936825,2	6898334,49	0	2018		51447	10,94
2018-01-01	A0004	2659	326	57	C	200	326281	936825,2	6898334,49	0	328	57	C	859	328940	938589,52	6896894,21	0	2018		21308	21,74
2018-01-01	A0004	14641	328	57	C	859	328940	938589,52	6896894,21	0	343	57	C	500	343581	952717,84	6898963,32	0	2018	1	36128	16,7
2018-01-01	A0004	1480	343	57	C	500	343581	952717,84	6898963,32	0	344	57	C	980	345061	954181,79	6898931,35	0	2018	1	30909	18,67
2018-01-01	A0004	17320	344	57	C	980	345061	954181,79	6898931,35	0	362	57	C	300	362381	970951,11	6899282,14	0	2018	1	30909	18,67
2018-01-01	A0004	7200	362	57	C	300	362381	970951,11	6899282,14	0	369	57	C	500	369581	977794,67	6899992,14	0	2018	1	39683	17,68
2018-01-01	A0004	5300	369	57	C	500	369581	977794,67	6899992,14	0	374	57	C	800	374881	981485,29	6896651,15	0	2018	1	21956	15,49
2018-01-01	A0004	6800	374	57	C	800	374881	981485,29	6896651,15	0	381	57	C	600	381681	986343,06	6892585,4	0	2018	1	18666	16,54
2018-01-01	A0004	8600	381	57	C	600	381681	986343,06	6892585,4	0	390	57	C	200	390281	994167	6889979,29	0	2018	1	17040	17,61
2018-01-01	A0004	2896	390	57	C	200	390281	994167	6889979,29	0	393	57	C	96	393177	996842,41	6889455,24	0	2018	1	20112	16,82
2018-01-01	A0004	15104	393	57	C	96	393177	996842,41	6889455,24	0	408	67	C	200	408281	1001898,89	6876294,64	0	2018	1	20112	16,82
2018-01-01	A0004	9606	408	67	C	200	408281	1001898,89	6876294,64	0	417	67	C	806	417887	1003853	6867371,39	0	2018	1	21199	16,53
2018-01-01	A0004	10394	417	67	C	806	417887	1003853	6867371,39	0	428	57	C	200	428281	1011628,84	6861189,27	0	2018	1	21199	16,53
2018-01-01	A0004	4728	428	57	C	200	428281	1011628,84	6861189,27	0	432	57	C	928	433009	1016315,3	6860893,05	0	2018	1	30827	21,41
